RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,3.84,0.14,0:03.99,0,104761,0,0
90,3.89,0.36,0:04.26,20941,120701,39428,25025
80,3.78,0.67,0:04.46,47453,123886,74133,53137
70,3.69,0.79,0:04.49,61525,118831,74418,68410
60,3.63,0.89,0:04.53,72966,122086,82389,80510
50,3.69,1.05,0:04.76,81217,192114,124012,93672
40,3.99,2.02,0:06.10,119334,620226,366785,239528
30,4.26,3.63,0:08.24,219959,1086507,665744,721234
20,4.38,3.73,0:08.48,233325,1105401,688508,754376
10,4.46,7.63,0:12.99,457114,2155381,1264838,1315604
5,4.47,7.84,0:13.49,458930,2206025,1282633,1630158
