RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,3.85,0.15,0:04.00,0,104761,0,0
90,3.83,0.25,0:04.08,5327,121541,26956,16733
80,3.86,0.28,0:04.14,4225,156665,62797,54677
70,3.69,0.41,0:04.11,4800,172409,74484,72536
60,3.67,0.40,0:04.08,4040,177767,75344,78226
50,3.70,0.53,0:04.24,15322,196415,91437,91266
40,3.93,1.34,0:05.29,67698,421955,233993,223789
30,4.28,2.19,0:06.49,22928,1268594,652093,674319
20,4.36,2.30,0:06.68,32847,1294962,681881,742252
10,4.81,4.25,0:09.07,39450,2622722,1281367,1542132
5,4.59,4.40,0:09.00,36700,2629032,1282826,1613681
