RATIO,CPU,PAGE_FAULT_HIT,PAGE_FAULT_TIME,PAGE_FAULT_S2,SWAPIN_HIT,SWAPIN_TIME,SWAPIN_S2,EVICT_HIT,EVICT_TIME,EVICT_S2,SYNC_TIME,LOCK_MINPF_HIT,LOCK_MINPF_TIME,LOCK_MINPF_S2,3PO_PF_HIT,3PO_PF_TIME,3PO_PF_S2
100,0,692709,534887.5,136373.4,1214,9101.222,2.537,,,,,169018,7453.241,736.747,692709,20990.17,908.517
100,1,1407,1783.150,1.537,,,,,,,,,,,1407,51.425,0.000
100,2,1283,1882.942,2.577,4,31.416,3.536,,,,,8,0.458,0.000,1283,53.763,0.008
100,3,310,360.449,0.353,,,,,,,,,,,310,10.641,0.000
100,4,476,734.952,3.938,4,30.630,2.567,,,,,18,0.729,0.000,476,18.718,0.000
90,0,1048988,2035934,2227949,174415,1212220,56677.65,18,100040.7,5488156,,525583,21548.75,5976.449,1048988,33043.61,12496.41
90,1,547,691.524,0.825,,,,,,,,,,,547,22.073,0.000
90,2,1967,4477.969,10.206,,,,,,,,,,,1967,134.084,0.290
90,3,2629,3460.598,5.439,,,,,,,,,,,2629,92.737,0.000
90,4,1958,2504.644,1.387,,,,,,,,,,,1958,69.571,0.000
80,0,1048842,1989385,3148929,168240,1166777,210355.2,15,84838.55,2522423,,525403,21250.11,5556.998,1048842,33759.49,19415.10
80,1,1430,1845.641,1.325,,,,,,,,,,,1430,53.239,0.000
80,2,1382,2750.735,7.356,5,36.740,3.591,,,,,35,18.734,2.549,1382,89.154,0.436
80,3,1236,1563.664,1.333,,,,,,,,,,,1236,46.892,0.000
80,4,239,311.422,0.938,1,8.910,0.000,,,,,3,0.084,0.000,239,9.393,0.000
70,0,1048872,2177278,7561799,196300,1344885,68765.65,8,41549.72,961692.2,,524813,19670.14,17063.44,1048872,33693.59,6733.637
70,1,76,50.877,4.371,,,,,,,,,,,76,2.973,0.000
70,2,1705,3036.113,3.936,1,8.829,0.000,,,,,10,0.382,0.000,1705,70.564,0.008
70,3,1892,2596.406,2.777,,,,,,,,,,,1892,66.663,0.000
70,4,2173,2942.524,24.135,,,,,,,,,,,2173,79.252,0.002
60,0,1048800,1816420,13520215,134460,965251.3,60393.27,3,15255.23,29889.15,,526508,23768.01,215138.8,1048800,33784.29,10649.44
60,1,1787,2183.067,0.757,,,,,,,,,,,1787,63.234,0.000
60,2,1758,3042.533,5.629,1,8.528,0.000,,,,,21,9.523,3.569,1758,67.535,0.004
60,3,1557,1822.328,1.230,,,,,,,,,,,1557,55.073,0.000
60,4,852,1333.821,54.610,,,,,,,,,,,852,29.815,0.000
50,0,1048733,1856155,4496506,148032,1026143,274789.9,15,81963.26,2973668,,524767,18926.20,7798.054,1048733,33080.48,5094.012
50,1,1974,2699.208,2.556,,,,,,,,,,,1974,70.204,0.000
50,2,1545,3515.262,8.739,1,22.695,0.000,,,,,21,5.939,1.238,1545,97.750,0.315
50,3,1232,1633.826,1.819,,,,,,,,,,,1232,58.268,0.167
50,4,1350,1860.991,2.094,,,,,,,,,,,1350,64.578,0.160
40,0,1048738,1776231,2089047,133263,935067.8,26284.91,7,39287.04,3078391,,525064,19561.58,15366.09,1048738,33251.42,2965.804
40,1,1963,2839.789,3.246,,,,,,,,,,,1963,87.435,0.140
40,2,1562,2738.142,4.700,4,31.964,2.860,,,,,33,7.211,1.070,1562,62.283,0.006
40,3,1348,1807.204,1.888,,,,,,,,,,,1348,48.906,0.000
40,4,963,1321.008,2.735,,,,,,,,,,,963,50.753,0.259
30,0,1048845,1781089,15707192,131792,935966.5,959028.9,3,15697.63,1120320,,525118,19461.71,3330.133,1048845,33172.81,19776.74
30,1,984,1390.689,2.760,6,45.178,3.276,,,,,18,0.648,0.000,984,37.814,0.000
30,2,1110,2048.544,6.354,,,,,,,,19,5.038,0.940,1110,48.312,0.009
30,3,682,952.493,3.768,,,,,,,,,,,682,25.399,0.000
30,4,226,271.779,1.462,,,,,,,,,,,226,7.465,0.000
20,0,1048737,1782209,4590740,136360,936043.6,101101.1,,,,,524446,17603.88,1790.812,1048737,34374.74,9160.987
20,1,1771,2567.252,2.073,,,,,,,,,,,1771,77.432,0.124
20,2,1805,3771.845,6.048,1,7.822,0.000,,,,,21,13.372,7.442,1805,83.508,0.014
20,3,2485,3348.323,7.554,,,,,,,,,,,2485,89.834,0.000
20,4,1218,1649.809,2.189,1,10.968,0.000,,,,,8,0.362,0.000,1218,45.192,0.000
10,0,1048892,1824366,23752435,145454,984233.3,27052.48,,,,,524462,17722.23,31183.41,1048892,33818.91,45452.88
10,1,567,698.563,1.899,,,,,,,,,,,567,21.072,0.000
10,2,4266,6506.952,198.868,1,9.705,0.000,,,,,14,0.522,0.000,4266,283.890,8.183
10,3,1587,2339.441,2.047,,,,,,,,,,,1587,58.294,0.000
10,4,1965,2558.142,1.562,,,,,,,,,,,1965,71.067,0.000
5,0,1048796,3535886,15180628,446460,2744014,877701.4,,,,,524437,17821.98,4400.615,1048796,34142.77,20706.37
5,1,2867,3614.433,3.598,,,,,,,,,,,2867,117.314,0.170
5,2,1113,1685.529,4.121,5,55.277,61.222,,,,,38,11.083,1.280,1113,42.369,0.005
5,3,2016,2793.771,2.302,,,,,,,,,,,2016,75.965,0.000
5,4,453,602.446,2.010,1,10.349,0.000,,,,,9,6.180,3.642,453,16.642,0.000
