RATIO,NUM_FAULTS,NUM_MAJOR_FAULTS
100,693799,1230
90,1050387,174426
80,1050212,168249
70,1049636,196309
60,1051330,134467
50,1049582,148040
40,1049904,133274
30,1049943,131801
20,1049271,136367
10,1049275,145466
5,1049268,446468
