RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,3.85,0.13,0:03.98,0,104759,-9,0
90,3.88,0.43,0:04.32,21540,119639,-9,25105
80,3.77,0.83,0:04.61,47681,124266,-39362,53681
70,3.73,0.97,0:04.72,62239,118082,-113510,68808
60,3.70,1.13,0:04.84,72940,120453,-187911,80457
50,3.75,1.33,0:05.10,81218,203081,-269436,95214
40,4.14,2.28,0:06.53,126382,647324,-399466,254683
30,4.24,4.16,0:08.76,219546,1087060,-781787,721766
20,4.41,4.24,0:09.02,233312,1106457,-1447955,755675
10,4.67,8.38,0:13.94,450114,2161875,-2136276,1316388
5,4.75,8.56,0:14.47,455963,2207771,-3400437,1629651
