RATIO,CPU,PAGE_FAULT_HIT,PAGE_FAULT_TIME,PAGE_FAULT_S2,SWAPIN_HIT,SWAPIN_TIME,SWAPIN_S2,EVICT_HIT,EVICT_TIME,EVICT_S2,SYNC_TIME,LOCK_MINPF_HIT,LOCK_MINPF_TIME,LOCK_MINPF_S2,3PO_PF_HIT,3PO_PF_TIME,3PO_PF_S2
100,0,100634,71996.87,600.771,,,,,,,,,,,100634,2943.898,7.033
100,1,813,1086.482,1.731,,,,,,,,,,,813,28.778,0.000
100,2,1406,1833.203,1.554,,,,,,,,,,,1406,49.658,0.000
100,3,1395,1846.793,1.692,,,,,,,,,,,1395,48.572,0.000
100,4,1065,1471.803,2.336,,,,,,,,,,,1065,53.545,0.205
90,0,154272,395032.1,242209.2,41183,282212.6,5030.364,2,14683.51,276028.9,,53643,1838.285,27.594,154272,4953.206,491.168
90,1,1227,1824.911,4.686,,,,,,,,,,,1227,43.922,0.000
90,2,1563,1997.367,2.638,6,39.395,1.630,,,,,31,25.091,9.355,1563,55.354,0.001
90,3,1681,2276.251,1.670,,,,,,,,,,,1681,60.939,0.000
90,4,1343,1776.071,2.769,,,,,,,,,,,1343,49.172,0.000
80,0,171376,446506.9,551215.8,47847,324826.9,120774.1,4,30202.43,397263.0,,66243,2414.586,138.568,171376,5100.600,138.683
80,1,881,1113.003,1.325,,,,,,,,,,,881,32.158,0.000
80,2,1119,1517.615,3.597,3,21.209,1.106,,,,,32,9.789,1.082,1119,38.679,0.000
80,3,1955,2661.686,1.711,1,10.898,0.000,,,,,7,0.287,0.000,1955,103.995,0.259
80,4,1720,2233.501,1.467,,,,,,,,,,,1720,60.567,0.000
70,0,191543,514727.6,463376.2,56491,379351.5,1185689,5,37107.11,1357240,,79378,3649.840,7262.447,191543,5822.364,530.064
70,1,937,1269.892,1.695,,,,,,,,,,,937,37.997,0.000
70,2,970,1397.460,3.586,2,13.270,0.982,,,,,10,0.351,0.000,970,35.753,0.003
70,3,711,990.179,1.715,,,,,,,,,,,711,25.684,0.000
70,4,172,224.111,1.162,,,,,,,,,,,172,7.094,0.003
60,0,185636,559277.7,207448.4,64547,425571.4,172744.1,5,30093.41,2785224,,76705,2413.006,22.694,185636,5672.551,136.648
60,1,1577,2136.296,1.261,,,,,,,,,,,1577,57.518,0.000
60,2,1537,2166.947,2.419,3,20.313,2.007,,,,,9,0.362,0.000,1537,52.876,0.000
60,3,1380,1918.970,2.825,4,30.044,2.844,,,,,9,4.574,1.979,1380,48.256,0.000
60,4,1339,1848.140,2.044,,,,,,,,,,,1339,48.643,0.000
50,0,258514,661156.5,209854.2,70984,474200.4,37569.65,3,18003.02,308925.4,,115796,8952.026,2659.329,258514,8216.132,144.670
50,1,3196,4028.514,48.687,,,,,,,,,,,3196,150.370,0.756
50,2,1237,1807.871,3.121,,,,,,,,,,,1237,46.827,0.000
50,3,1742,2436.193,2.172,,,,,,,,,,,1742,66.120,0.000
50,4,1614,2327.568,2.946,8,61.558,2.855,,,,,31,4.018,0.283,1614,63.150,0.008
40,0,1307941,2267289,9778213,186055,1291907,69488.71,5,25553.58,108868.3,,699676,103383.0,241713.9,1307941,42623.27,12545.43
40,1,584,832.543,3.226,,,,,,,,,,,584,21.610,0.000
40,2,594,854.956,5.442,3,21.088,1.474,,,,,9,0.360,0.000,594,22.115,0.003
40,3,3133,4350.867,10.625,,,,,,,,,,,3133,109.908,0.001
40,4,2877,3797.591,3.197,,,,,,,,,,,2877,101.791,0.000
30,0,1382802,2755874,23055.49,244443,1691075,732804.8,4,22066.91,4869433,,760832,118378.4,290710.7,1382802,44894.59,8176.484
30,1,1641,2120.790,1.981,,,,,,,,,,,1641,58.064,0.000
30,2,1763,3598.293,6.344,1,8.211,0.000,,,,,10,0.379,0.000,1763,93.839,0.141
30,3,1519,2007.695,1.500,,,,,,,,,,,1519,56.541,0.000
30,4,1111,1454.077,1.467,,,,,,,,,,,1111,40.543,0.000
20,0,1386644,2816627,1826011,252946,1746439,133493.9,5,25013.82,348327.4,,760192,114056.6,190103.9,1386644,46273.96,134018.8
20,1,1648,2105.175,1.932,,,,,,,,,,,1648,59.080,0.000
20,2,1877,3642.248,5.883,5,32.854,0.886,,,,,9,0.346,0.000,1877,81.881,0.012
20,3,1159,1531.198,1.848,,,,,,,,,,,1159,56.716,0.197
20,4,1383,1905.202,2.814,,,,,,,,,,,1383,51.466,0.000
10,0,1526519,2996474,1618360,260567,1808089,9022312,5,26363.78,201345.1,,887861,162935.5,444913.6,1526519,50201.34,9756.350
10,1,1918,2359.808,0.967,,,,,,,,,,,1918,84.346,0.121
10,2,1581,2926.178,4.521,2,14.484,0.175,,,,,22,6.720,1.552,1581,70.678,0.028
10,3,1827,2356.540,0.944,,,,,,,,,,,1827,67.130,0.000
10,4,1420,1895.796,1.722,1,9.839,0.000,,,,,9,0.400,0.000,1420,51.040,0.000
5,0,1896180,3788753,4963675,320377,2229194,185300.0,7,27266.37,65763.89,,1257898,263618.9,1367165,1896180,62516.02,30548.79
5,1,702,1019.780,5.123,,,,,,,,,,,702,28.769,0.000
5,2,367,659.394,4.384,1,7.856,0.000,,,,,28,19.816,6.489,367,13.925,0.005
5,3,3369,4520.786,5.074,,,,,,,,,,,3369,120.857,0.000
5,4,3741,5039.912,20.520,,,,,,,,,,,3741,139.782,0.094
