RATIO,CPU,PAGE_FAULT_HIT,PAGE_FAULT_TIME,PAGE_FAULT_S2,SWAPIN_HIT,SWAPIN_TIME,SWAPIN_S2,EVICT_HIT,EVICT_TIME,EVICT_S2,SYNC_TIME,LOCK_MINPF_HIT,LOCK_MINPF_TIME,LOCK_MINPF_S2,3PO_PF_HIT,3PO_PF_TIME,3PO_PF_S2
100,0,678956,577068.2,128844.8,29,216.798,5.481,,,,45012.80,1506,43.783,0.000,678956,103056.2,70805.71
100,1,2589,3566.621,7.547,,,,,,,,,,,2589,125.852,1.137
100,2,2246,2967.397,10.366,,,,,,,,,,,2246,81.192,0.001
100,3,1436,1967.308,2.627,,,,,,,,,,,1436,50.076,0.000
100,4,1948,2760.379,2.568,,,,,,,,,,,1948,89.030,0.000
90,0,689469,595447.3,125528.5,59,412.691,5.334,,,,51352.05,11970,348.890,0.431,689469,109943.2,64379.68
90,1,916,1172.031,1.746,,,,,,,,,,,916,32.589,0.000
90,2,1023,1298.774,1.280,,,,,,,,,,,1023,37.441,0.000
90,3,2815,3892.958,4.430,,,,,,,,,,,2815,95.316,0.000
90,4,3133,4339.418,16.392,,,,,,,,,,,3133,121.092,0.601
80,0,697746,617829.7,434001.7,361,2693.340,3.762,1,9521.907,0.000,55052.84,20297,722.167,12.500,697746,114536.5,174790.6
80,1,1040,1367.001,2.949,,,,,,,,,,,1040,36.601,0.000
80,2,665,886.850,3.804,,,,,,,,,,,665,23.550,0.000
80,3,3154,4326.999,16.591,,,,,,,,,,,3154,108.018,0.001
80,4,2558,3596.515,6.798,,,,,,,,,,,2558,89.180,0.000
70,0,716964,650201.2,405081.2,672,5022.043,4.018,8,76454.29,5761191,64893.94,39474,1260.135,26.108,716964,126839.6,212715.9
70,1,2615,3663.475,7.184,,,,,,,,,,,2615,88.546,0.000
70,2,2090,2984.307,178.328,,,,,,,,,,,2090,114.932,15.912
70,3,1907,2563.446,2.754,16,104.711,2.550,,,,,16,0.547,0.000,1907,66.993,0.000
70,4,2597,3379.667,5.687,,,,,,,,,,,2597,89.752,0.000
60,0,781164,850803.6,6945164,12762,98374.02,352.295,11,89123.12,7711432,95837.73,103726,3571.313,14948.53,781164,164310.1,3519496
60,1,2259,3050.564,11.414,,,,,,,,,,,2259,79.527,0.001
60,2,2990,4636.749,102.128,,,,,,,,,,,2990,168.469,7.347
60,3,2071,3025.340,4.469,8,55.588,2.540,,,,,8,0.300,0.000,2071,104.935,0.244
60,4,1817,2383.155,2.640,,,,,,,,,,,1817,80.392,0.150
50,0,893401,971713.9,7422810,4673,35537.25,967.621,13,119341.9,10485748,168077.5,215725,7169.076,2540.014,893401,248084.2,6030210
50,1,6753,8065.888,122.584,,,,,,,,,,,6753,347.704,3.325
50,2,2699,3977.955,6.644,,,,,,,,,,,2699,112.155,0.253
50,3,2672,3642.596,5.680,,,,,,,,,,,2672,92.334,0.000
50,4,2667,3692.774,6.826,,,,,,,,,,,2667,93.621,0.000
40,0,1009230,1223180,8384058,5728,42977.64,89.906,21,163500.8,3903582,273035.7,331749,10785.90,888.738,1009230,365464.1,7352975
40,1,1805,2332.271,2.977,,,,,,,,,,,1805,82.772,0.150
40,2,1070,1969.670,6.792,,,,,,,,,,,1070,38.178,0.002
40,3,2073,2840.626,33013.16,,,,,,,,,,,2073,85.724,1612.284
40,4,1874,2511.491,2.427,,,,,,,,,,,1874,64.552,0.000
30,0,1172672,1555995,159922904,12344,86691.47,655.287,17,108263.6,2372504,380014.1,495180,17167.76,10685.34,1172672,490420.3,139120334
30,1,1871,2731.026,4.678,16,105.105,2.856,,,,,16,0.554,0.000,1871,70.923,0.000
30,2,1188,1505.268,2.765,,,,,,,,,,,1188,41.975,0.001
30,3,1184,1569.787,2.095,,,,,,,,,,,1184,41.583,0.000
30,4,7452,9128.860,101.793,,,,,,,,,,,7452,444.241,5.752
20,0,1262927,1724528,1558429,4200,28685.65,175.634,17,103964.1,2851254,484168.6,585515,20831.97,8425.110,1262927,604442.4,1112708
20,1,1470,1901.770,1.414,,,,,,,,,,,1470,53.708,0.000
20,2,1211,1851.074,3.329,,,,,,,,,,,1211,59.713,0.238
20,3,1189,1621.759,3.615,,,,,,,,,,,1189,58.057,0.175
20,4,644,741.435,2.125,,,,,,,,,,,644,23.156,0.000
10,0,1372659,1957108,7908554,3729,25970.12,104.803,14,80269.55,3093414,586776.9,695081,24641.09,80570.30,1372659,717957.1,6618279
10,1,955,1412.477,3.902,,,,,,,,,,,955,50.527,0.240
10,2,797,1630.591,6.727,,,,,,,,,,,797,30.725,0.004
10,3,4455,6453.122,16.998,,,,,,,,,,,4455,171.616,0.363
10,4,4166,5790.942,280.232,,,,,,,,,,,4166,207.278,22.083
5,0,1442207,2105804,2970243,3895,28211.91,46.510,7,36057.40,3349369,639033.3,758208,26579.65,15624.39,1442207,780011.3,847698.5
5,1,2671,3788.740,6.637,,,,,,,,,,,2671,109.295,0.214
5,2,3443,5815.067,18.075,,,,,,,,,,,3443,163.926,0.495
5,3,4367,5732.793,17.012,,,,,,,,,,,4367,154.354,0.001
5,4,3448,4698.772,8.651,,,,,,,,,,,3448,139.323,0.237
