RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,3.87,0.10,0:03.98,0,104761,0,0
90,3.90,0.33,0:04.23,22343,122374,40951,25556
80,3.80,0.56,0:04.37,50887,127485,74187,55945
70,3.72,0.68,0:04.41,64401,116248,74888,70845
60,3.72,0.76,0:04.49,73218,155646,100316,80112
50,3.88,0.66,0:04.55,73054,166995,106246,80849
40,3.95,1.83,0:05.83,127908,713343,416156,257304
30,4.39,2.80,0:07.26,220688,1089012,669150,723258
20,4.40,2.96,0:07.43,229838,1117003,691650,753343
10,4.81,5.67,0:10.71,448961,2189768,1274685,1250922
5,4.69,5.97,0:11.00,460022,2205441,1282916,1630041
