RATIO,NUM_FAULTS,NUM_MAJOR_FAULTS
100,100841,0
90,142664,38246
80,153179,50200
70,197353,73956
60,179140,68206
50,250090,90875
40,1304106,163537
30,1619865,260794
20,1621923,261054
10,1697379,254968
5,2246571,328571
