RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,6.84,0.25,0:03.81,0,101094,0,0
90,6.97,0.41,0:03.96,95,150441,0,41416
80,7.26,0.48,0:04.16,166,163080,0,49951
70,6.91,0.56,0:04.02,237,171307,0,58474
60,7.43,0.53,0:04.29,363,181388,0,65892
50,7.50,0.69,0:04.39,9415,253232,0,78628
40,7.97,2.07,0:05.32,3072,1015753,0,429930
30,8.02,2.05,0:05.36,173,1081736,0,559972
20,8.49,2.11,0:05.63,138,1103488,0,581022
10,8.70,2.00,0:05.69,103,1103985,0,584763
5,9.40,2.55,0:06.36,1183,1120361,0,587523
