RATIO,NUM_FAULTS,NUM_MAJOR_FAULTS
100,100815,0
90,134873,11808
80,140974,17709
70,152132,26151
60,171967,33777
50,187951,29758
40,524833,123122
30,723049,10844
20,749539,887
10,756094,446
5,759203,2691
