RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,3.49,0.10,0:03.59,0,100589,-13091745,0
90,3.59,0.28,0:03.90,3378,145114,-13091745,45187
80,3.56,0.39,0:03.99,2776,160194,-13143994,54251
70,3.55,0.44,0:04.02,1940,164288,-13212038,62634
60,3.59,0.39,0:04.03,815,167528,-13282680,69048
50,3.63,0.47,0:04.15,3455,195889,-13353418,76555
40,4.11,1.75,0:05.97,17016,1196976,-13439643,333411
30,4.07,2.20,0:06.57,157,1381198,-14041263,765857
20,4.49,1.80,0:06.61,34,1382197,-14749252,775741
10,4.10,2.95,0:07.36,49154,1435322,-15458188,828542
5,4.13,3.63,0:08.08,54121,1847194,-16201900,1205986
