RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,6.50,0.20,0:06.71,6,101179,0,62
90,6.60,0.62,0:07.23,48269,114835,0,52891
80,6.49,0.70,0:07.19,56640,107642,0,57621
70,6.99,0.84,0:07.84,69076,125266,0,77561
60,6.92,0.98,0:07.90,76367,142974,0,93821
50,7.02,1.24,0:08.27,99708,167310,0,118738
40,7.76,2.38,0:10.21,165827,797425,0,483905
30,7.87,2.87,0:10.82,227950,876792,0,586630
20,7.76,3.05,0:10.89,230696,874655,0,587026
10,7.61,3.01,0:10.69,229628,894532,0,598311
5,7.98,5.13,0:13.26,375165,1303272,0,1114003
