RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,5.58,0.86,0:06.45,29,678893,1635,601
90,5.62,0.91,0:06.54,30,689368,80232,13831
80,5.64,1.01,0:06.66,294,697598,152942,16559
70,5.70,1.05,0:06.75,596,712342,197273,26226
60,5.78,1.35,0:07.14,13061,767257,298768,68879
50,5.75,1.57,0:07.33,4715,888242,364467,139497
40,5.81,1.89,0:07.71,5271,1002770,478396,292039
30,5.95,2.18,0:08.14,12131,1162263,565201,440579
20,5.97,2.43,0:08.40,3587,1258777,667670,578378
10,6.24,2.58,0:08.83,4238,1370171,721510,732176
5,7.08,2.59,0:09.68,3984,1438716,766815,800376
