RATIO,CPU,PAGE_FAULT_HIT,PAGE_FAULT_TIME,PAGE_FAULT_S2,SWAPIN_HIT,SWAPIN_TIME,SWAPIN_S2,EVICT_HIT,EVICT_TIME,EVICT_S2,SYNC_TIME,LOCK_MINPF_HIT,LOCK_MINPF_TIME,LOCK_MINPF_S2,3PO_PF_HIT,3PO_PF_TIME,3PO_PF_S2
100,0,678847,574023.2,55097.69,29,212.318,5.359,,,,45147.61,1468,40.876,0.000,678847,102312.1,6956.181
100,1,1529,2030.398,2.354,,,,,,,,,,,1529,55.090,0.000
100,2,1090,1414.752,1.812,,,,,,,,,,,1090,39.056,0.000
100,3,607,854.472,2.659,,,,,,,,,,,607,21.016,0.000
100,4,2307,3343.294,19.960,,,,,,,,,,,2307,76.523,0.000
90,0,689433,595065.5,280589.5,30,228.376,5.101,,,,51069.35,11940,490.512,206.915,689433,109614.8,146213.2
90,1,2036,2741.336,2.209,,,,,,,,,,,2036,71.571,0.000
90,2,1747,2275.640,1.742,,,,,,,,,,,1747,78.199,0.162
90,3,2274,3206.687,16.956,,,,,,,,,,,2274,78.115,0.001
90,4,1956,2651.448,2.350,,,,,,,,,,,1956,65.893,0.000
80,0,697986,616826.0,454703.5,294,2202.483,3.438,1,9541.292,0.000,53571.47,20443,701.925,40.014,697986,114007.4,186102.7
80,1,868,1013.015,2.180,,,,,,,,,,,868,35.606,0.000
80,2,1827,2646.587,3.450,,,,,,,,,,,1827,63.983,0.000
80,3,2575,3538.084,8.756,,,,,,,,,,,2575,90.759,0.000
80,4,2278,3065.160,18.651,,,,,,,,,,,2278,110.856,2.815
70,0,712863,648119.8,833328.7,596,4645.549,75.829,8,70187.14,1994635,63672.19,35483,1195.651,212.690,712863,125406.4,430369.3
70,1,2671,3553.318,5.599,,,,,,,,,,,2671,95.383,0.000
70,2,2039,2903.213,3.097,,,,,,,,,,,2039,85.958,0.141
70,3,1979,2631.340,2.821,,,,,,,,,,,1979,84.951,0.122
70,4,1634,2112.300,2.124,,,,,,,,,,,1634,59.986,0.000
60,0,780370,850554.2,1397030,13061,100781.9,292.874,12,95045.76,9402550,96373.06,102901,3894.357,1201.853,780370,164754.8,735370.4
60,1,2614,3612.611,6.691,,,,,,,,,,,2614,91.141,0.000
60,2,2572,3743.191,8.704,,,,,,,,,,,2572,157.717,1.104
60,3,2679,3960.664,10.910,33,272.838,27.985,,,,,33,1.210,0.000,2679,95.412,0.000
60,4,2327,3180.374,12.292,,,,,,,,,,,2327,82.293,0.001
50,0,892998,983318.1,2288454,4715,34994.38,160.042,12,109293.4,5852748,172888.7,215516,7938.877,5890.629,892998,253814.5,1825538
50,1,3498,4768.984,17.132,16,102.731,2.004,,,,,16,0.528,0.000,3498,133.283,0.001
50,2,1534,2216.072,4.182,,,,,,,,,,,1534,56.470,0.000
50,3,5616,7011.133,158.438,,,,,,,,,,,5616,300.616,5.026
50,4,3231,4588.388,13.570,,,,,,,,,,,3231,112.828,0.001
40,0,1008156,1217257,2911147,5271,40355.40,101.993,20,150215.4,1976278,270224.4,330575,11352.13,3353.922,1008156,363623.3,2571024
40,1,2664,3408.146,4.268,,,,,,,,,,,2664,91.925,0.000
40,2,1910,2794.488,2.667,,,,,,,,,,,1910,72.686,0.003
40,3,2120,2825.754,46.285,,,,,,,,,,,2120,75.079,0.005
40,4,1617,2428.682,4.555,34,252.898,17.000,,,,,34,1.254,0.000,1617,56.315,0.000
30,0,1174375,1562521,6535859,12131,85869.08,1648.174,17,105799.3,2932977,383037.9,496928,17020.50,3467.265,1174375,493994.4,5770785
30,1,2707,4152.177,7.416,,,,,,,,,,,2707,95.485,0.000
30,2,2535,4670.411,19.933,,,,,,,,,,,2535,104.217,0.031
30,3,3601,4733.223,331.580,,,,,,,,,,,3601,142.306,12.363
30,4,3276,4393.420,13.351,,,,,,,,,,,3276,116.391,0.001
20,0,1262362,1727333,2184544,3587,25498.69,19.186,15,93536.69,2057388,487770.9,584881,20807.52,7172.938,1262362,608334.2,1562431
20,1,1747,2386.068,3.080,,,,,,,,,,,1747,63.230,0.000
20,2,689,1140.471,2.448,,,,,,,,,,,689,30.817,0.008
20,3,538,710.531,3.026,,,,,,,,,,,538,18.628,0.000
20,4,3856,5708.139,21.794,,,,,,,,,,,3856,166.031,0.915
10,0,1374443,1971141,7326567,4238,29508.97,165.636,12,69146.03,2939404,591545.1,696847,24620.64,13909.95,1374443,724178.2,6217553
10,1,2178,3000.297,34.816,,,,,,,,,,,2178,79.318,0.002
10,2,998,1957.419,8.330,16,105.147,3.023,,,,,16,0.465,0.000,998,42.059,0.005
10,3,1077,1470.965,2.357,,,,,,,,,,,1077,40.481,0.000
10,4,7985,9392.640,115.562,,,,,,,,,,,7985,375.418,1.820
5,0,1442679,2112223,2647967,3984,28884.30,93.561,7,37545.63,3006061,643247.3,758612,26768.67,249207.1,1442679,781115.1,918103.3
5,1,3033,3901.809,31.988,,,,,,,,,,,3033,107.251,0.002
5,2,2503,4197.980,19.652,,,,,,,,,,,2503,118.285,0.324
5,3,2475,3223.429,6.314,,,,,,,,,,,2475,92.364,0.000
5,4,1489,1981.107,2.495,,,,,,,,,,,1489,53.524,0.000
