RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,3.87,0.10,0:03.97,0,104761,0,0
90,3.91,0.33,0:04.25,22015,119528,39827,25321
80,3.80,0.66,0:04.46,47531,123515,74142,53188
70,3.76,0.76,0:04.53,63051,117647,74798,69594
60,3.69,0.90,0:04.60,73479,123281,83315,81171
50,3.73,1.06,0:04.80,80944,183769,119478,92733
40,3.93,2.19,0:06.21,124398,657083,386367,249980
30,4.06,3.85,0:08.28,220373,1085430,665729,722285
20,4.29,3.84,0:08.49,234198,1107103,689761,756647
10,4.43,7.71,0:13.03,456977,2155493,1264498,1316306
5,4.56,7.80,0:13.54,459045,2205908,1282645,1630441
