RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,7.05,0.19,0:02.74,0,101049,0,0
90,7.18,0.68,0:03.00,40379,111958,0,41185
80,7.20,0.89,0:03.09,49071,127783,0,50163
70,7.24,0.85,0:03.12,57380,120007,0,59048
60,7.73,0.99,0:03.32,65564,163962,0,68278
50,7.82,1.05,0:03.40,73155,201634,0,77133
40,9.10,3.59,0:04.71,205512,750272,0,439669
30,8.50,4.52,0:04.90,247775,830790,0,575033
20,8.40,4.64,0:04.93,254559,869822,0,597375
10,8.55,5.56,0:05.34,292058,967785,0,685710
5,9.89,4.19,0:05.28,284675,889493,0,626723
