RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,26.67,0.43,0:27.11,29,264025,952,136
90,27.28,2.57,0:29.93,79351,1165580,631679,359289
80,27.57,3.07,0:30.71,131108,1275340,715047,537291
70,27.74,3.65,0:31.50,159562,1584715,888188,721444
60,27.98,3.74,0:31.83,193472,1604971,915790,815300
50,28.11,3.90,0:32.12,203199,1785823,1012967,913388
40,28.04,4.84,0:32.99,293427,1823874,1078589,1002459
30,28.32,5.72,0:34.16,385571,2253556,1343594,1165545
20,28.60,7.67,0:36.39,531088,2686703,1639448,1550406
10,29.07,8.99,0:38.21,739468,3118890,1966108,1890110
5,29.55,10.76,0:40.49,1020547,3508752,2308034,2221659
