RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,2.30,0.75,0:03.08,668,688502,-61930210,5325
90,2.28,1.98,0:04.41,87518,699051,-62105069,282934
80,2.27,2.04,0:04.47,90056,696510,-62486876,283716
70,2.37,1.95,0:04.47,92343,694231,-62923032,284307
60,2.27,4.25,0:06.61,336273,659873,-63400383,498380
50,2.27,4.61,0:06.96,359089,689638,-63964862,549880
40,2.33,4.57,0:06.96,422788,625938,-64530221,563025
30,2.39,4.26,0:06.72,404203,644524,-65095806,562990
20,2.51,3.96,0:06.55,394942,653784,-65661389,562990
10,2.40,3.98,0:06.46,401339,647390,-66226974,563020
5,2.47,4.01,0:06.54,433989,614738,-66792560,563039
