RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,7.05,0.26,0:03.92,0,101094,0,0
90,7.38,0.43,0:04.18,73,150492,0,41501
80,7.29,0.45,0:04.16,281,161722,0,48948
70,7.03,0.47,0:04.04,86,166260,0,58586
60,7.39,0.55,0:04.27,319,181524,0,65943
50,7.33,0.84,0:04.37,12167,287381,0,82047
40,7.87,1.90,0:05.18,2598,985062,0,415613
30,8.46,2.09,0:05.61,163,1082608,0,560345
20,8.66,2.05,0:05.69,158,1103434,0,581501
10,8.67,2.10,0:05.72,167,1105589,0,585418
5,10.02,2.47,0:06.62,522,1119467,0,586160
