RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,5.57,0.78,0:06.36,106,678186,951,657
90,5.53,0.95,0:06.49,1525,687873,38911,11476
80,5.62,0.87,0:06.50,1428,687973,82080,11386
70,5.67,1.01,0:06.69,5956,694085,156209,26530
60,5.85,1.37,0:07.23,36352,727901,243182,93983
50,5.88,2.00,0:07.93,78087,765355,345100,169428
40,5.82,2.71,0:08.59,124021,850916,434207,303475
30,5.87,3.81,0:09.84,206551,956985,560320,494119
20,5.97,3.98,0:10.24,203705,1028182,652073,604487
10,6.34,4.30,0:10.99,240933,1130597,708564,764341
5,6.96,4.61,0:11.95,241228,1214218,776535,860609
