RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,3.52,0.08,0:03.61,0,100590,0,0
90,3.56,0.53,0:04.10,38180,104076,52160,41507
80,3.53,0.68,0:04.22,50198,102625,68922,54270
70,3.52,0.93,0:04.45,74079,123260,90094,80003
60,3.52,0.87,0:04.39,71881,110767,79985,77441
50,3.61,1.08,0:04.71,92421,156547,113583,108562
40,3.75,3.17,0:07.51,163769,975956,595456,532991
30,3.52,4.57,0:08.81,258527,1124206,709295,774131
20,3.77,4.31,0:08.84,258087,1125113,709624,779163
10,3.89,4.36,0:09.00,254037,1190474,731250,817748
5,4.23,5.30,0:10.54,330630,1560607,814719,1239049
