RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,3.45,0.11,0:03.56,0,100590,0,0
90,3.50,0.48,0:03.98,41094,113435,64068,44558
80,3.48,0.53,0:04.02,47596,116845,72487,51680
70,3.50,0.62,0:04.12,57081,137677,84740,63399
60,3.50,0.63,0:04.14,63533,124103,80569,69471
50,3.60,0.70,0:04.30,68830,167737,106010,74920
40,3.85,2.63,0:06.53,182899,1123595,661882,643988
30,3.84,3.22,0:07.12,259029,1123707,709353,777136
20,4.03,3.01,0:07.11,245685,1142188,712123,779239
10,3.98,3.45,0:07.51,268377,1254469,744737,867364
5,4.23,4.16,0:08.50,330586,1563550,816185,1243402
