RATIO,CPU,PAGE_FAULT_HIT,PAGE_FAULT_TIME,PAGE_FAULT_S2,SWAPIN_HIT,SWAPIN_TIME,SWAPIN_S2,EVICT_HIT,EVICT_TIME,EVICT_S2,SYNC_TIME,LOCK_MINPF_HIT,LOCK_MINPF_TIME,LOCK_MINPF_S2,3PO_PF_HIT,3PO_PF_TIME,3PO_PF_S2
100,0,100679,84388.11,321939.5,,,,,,,6709.584,,,,100679,14908.86,7218.982
100,1,1888,2611.183,3.008,,,,,,,,,,,1888,66.289,0.000
100,2,564,792.506,1.008,,,,,,,,,,,564,27.684,0.001
100,3,1301,1703.012,2.137,,,,,,,,,,,1301,46.774,0.000
100,4,715,939.482,2.458,,,,,,,,,,,715,24.848,0.000
90,0,141523,195794.0,472760.0,884,11482.51,476.431,1,13934.06,0.000,34085.76,45755,31636.69,39950.99,141523,46358.85,203024.4
90,1,1256,1741.457,3.116,,,,,,,,,,,1256,45.104,0.000
90,2,440,713.354,1.177,,,,,,,,,,,440,25.734,0.001
90,3,936,1402.048,5.366,14,147.874,78.910,,,,,16,0.587,0.000,936,35.488,0.000
90,4,1653,2325.219,1.660,,,,,,,,,,,1653,72.080,0.135
80,0,156659,240759.3,1669827,3724,38601.45,2590.412,3,44088.96,2637936,41099.90,56768,28533.35,61569.85,156659,54821.38,720869.3
80,1,1257,1993.563,5.145,30,228.875,13.831,,,,,30,1.051,0.000,1257,46.820,0.000
80,2,398,695.457,1.437,,,,,,,,,,,398,40.695,0.695
80,3,1365,1738.022,3.317,,,,,,,,,,,1365,96.927,0.530
80,4,3638,4486.532,273.174,,,,,,,,,,,3638,197.939,8.347
70,0,167170,263087.0,340745.4,4394,38404.60,921.908,3,52983.12,15390770,49950.67,66891,29515.02,30683.91,167170,65008.88,174560.1
70,1,1316,1850.449,2.854,,,,,,,,,,,1316,49.853,0.000
70,2,319,753.652,6.212,16,110.886,3.401,,,,,16,0.517,0.000,319,21.709,0.002
70,3,1439,1928.346,2.106,,,,,,,,,,,1439,52.832,0.000
70,4,814,943.611,2.142,,,,,,,,,,,814,31.322,0.000
60,0,181665,299495.0,257132.9,7820,61472.50,1818.651,4,63455.59,3907507,53274.08,77155,29722.47,31220.36,181665,69593.26,133987.0
60,1,1711,2491.873,2.107,,,,,,,,,,,1711,74.286,0.129
60,2,351,575.475,0.629,,,,,,,,,,,351,21.852,0.001
60,3,1697,2133.030,1.407,,,,,,,,,,,1697,59.746,0.000
60,4,1531,2186.764,2.772,,,,,,,,,,,1531,57.814,0.000
50,0,249417,570711.0,8138374,31168,282542.1,86444.78,5,68946.22,8067847,59486.44,112334,28913.68,1050681,249417,81450.01,2558899
50,1,1887,2808.305,1.965,9,69.484,2.342,,,,,9,0.350,0.000,1887,65.909,0.000
50,2,446,826.280,4.321,,,,,,,,,,,446,26.064,0.001
50,3,2817,3911.181,38.888,,,,,,,,,,,2817,99.280,0.000
50,4,1966,2690.978,1.988,,,,,,,,,,,1966,69.943,0.000
40,0,1101267,1613861,3279893,19105,251640.8,30386.07,4,72603.90,13300560,404097.7,575059,83893.13,1399297,1101267,511105.6,6701404
40,1,2735,4134.919,5.989,,,,,,,,,,,2735,95.260,0.000
40,2,500,935.479,3.935,,,,,,,,,,,500,31.166,0.001
40,3,4013,5873.317,8.795,16,116.155,2.298,,,,,16,0.469,0.000,4013,179.538,0.341
40,4,2651,3579.489,5.816,,,,,,,,,,,2651,108.751,0.229
30,0,1381898,2007174,2390690,5173,156237.6,25537.84,4,61100.28,10302584,557531.3,750140,160936.4,727527.5,1381898,694745.4,1659327
30,1,2254,3154.842,17.041,,,,,,,,,,,2254,81.677,0.001
30,2,965,1582.494,3.543,8,59.085,1.773,,,,,9,0.345,0.000,965,66.260,0.263
30,3,3127,4774.733,14.747,,,,,,,,,,,3127,141.205,0.002
30,4,1886,2719.418,2.627,16,113.990,2.256,,,,,16,0.554,0.000,1886,67.960,0.000
20,0,1382663,1880528,13938148,34,2317.077,7574.050,3,60428.61,21375354,563388.5,752499,179569.5,2755989,1382663,700110.9,6296172
20,1,2652,3751.865,5.619,,,,,,,,,,,2652,114.581,0.264
20,2,781,1221.759,2.587,,,,,,,,,,,781,40.847,0.001
20,3,3625,5365.887,143.984,,,,,,,,,,,3625,150.970,0.016
20,4,2398,3414.673,9.565,,,,,,,,,,,2398,118.316,0.851
10,0,1389847,1874523,5244149,2992,35620.85,8475.958,6,60088.82,6098980,565086.5,753092,139434.1,3621127,1389847,703198.3,2445890
10,1,263,333.956,0.310,,,,,,,,,,,263,10.492,0.000
10,2,1534,2344.042,2.410,,,,,,,,,,,1534,65.408,0.000
10,3,4397,7307.953,21.512,,,,,,,,,,,4397,219.726,0.483
10,4,3465,4775.742,8.669,,,,,,,,,,,3465,140.265,0.289
5,0,1890266,3221411,75657671,83542,818913.1,181922.6,27,65502.51,332792.9,785721.8,1180494,125342.3,933871.7,1890266,967084.0,59275644
5,1,2296,3034.126,12.037,,,,,,,,,,,2296,97.738,0.618
5,2,571,1073.121,4.313,,,,,,,,,,,571,41.805,0.002
5,3,3022,4394.058,34.402,,,,,,,,,,,3022,133.166,0.007
5,4,1367,1934.784,2.200,,,,,,,,,,,1367,69.736,0.254
