RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,3.48,0.10,0:03.59,0,100590,0,0
90,3.56,0.19,0:03.78,884,140714,44333,42710
80,3.48,0.35,0:03.85,3724,153010,59772,54840
70,3.49,0.38,0:03.89,4394,162781,74193,66338
60,3.52,0.41,0:03.95,7820,173736,79494,77059
50,3.62,0.65,0:04.30,31168,218269,114100,106431
40,3.92,1.88,0:05.84,19105,1082237,544286,577661
30,3.87,2.37,0:06.33,5173,1376800,708726,763295
20,3.94,2.18,0:06.24,34,1382704,709367,776575
10,3.89,2.34,0:06.31,2992,1386857,712726,779726
5,4.26,3.60,0:07.93,83542,1806799,822193,1230905
