RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,2.21,0.85,0:03.09,752,692194,178875,5690
90,2.24,1.67,0:04.09,32832,753734,383787,282975
80,2.38,1.55,0:04.11,32820,753745,442469,283816
70,2.36,1.66,0:04.18,32826,753748,493700,284559
60,2.36,2.84,0:05.32,74431,921849,564478,498052
50,2.40,3.10,0:05.62,79864,968863,565384,551185
40,2.42,2.60,0:05.13,85649,963078,565585,563013
30,2.40,2.59,0:05.12,88946,959782,565587,563012
20,2.46,2.33,0:04.91,82727,965999,565585,563007
10,2.54,2.30,0:05.00,94086,954644,565589,563015
5,2.53,2.38,0:05.05,97464,951263,565588,563029
