RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,2.12,5.33,0:07.46,437202,611579,564037,470927
90,2.20,2.02,0:04.96,18,1048767,565058,529809
80,2.34,1.96,0:05.02,14,1048778,565609,562229
70,2.41,1.92,0:05.01,15,1048780,565613,562350
60,2.29,2.06,0:04.96,16,1048783,565616,562394
50,2.50,1.88,0:04.96,15,1048787,565621,562614
40,2.47,1.96,0:04.94,15,1048790,565623,562702
30,2.55,1.88,0:04.91,14,1048793,565623,562816
20,2.58,1.91,0:04.92,15,1048796,565610,562911
10,2.63,1.90,0:04.92,15,1048799,565624,563034
5,2.57,1.97,0:04.90,15,1048801,565622,563084
