RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,3.73,0.10,0:02.09,0,100521,0,0
90,3.90,0.63,0:02.47,41913,106747,59604,45557
80,3.92,0.70,0:02.54,47174,112348,70474,53016
70,3.94,0.81,0:02.65,58169,125572,80051,64776
60,3.90,0.84,0:02.63,61827,107745,71597,69151
50,4.06,0.94,0:02.77,68960,179983,112686,87237
40,4.86,3.25,0:04.39,146718,1027031,592406,351312
30,5.04,4.91,0:05.56,242922,1100232,687124,756514
20,4.44,5.26,0:05.54,262001,1119505,708405,791691
10,4.60,5.34,0:05.73,271470,1111029,709493,794773
5,5.41,5.10,0:06.03,269356,1136922,723295,802073
