RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,5.46,0.91,0:06.37,80,678070,805,546
90,5.59,0.84,0:06.44,1501,687897,38433,11502
80,5.64,0.84,0:06.50,1469,687932,81768,11501
70,5.67,1.00,0:06.68,4910,695206,155355,26634
60,5.64,1.55,0:07.20,37057,727936,246046,94633
50,5.90,1.96,0:07.91,79391,764176,344804,170975
40,5.82,2.71,0:08.59,125062,849475,435678,302733
30,5.89,3.77,0:09.82,207377,955727,563032,496230
20,6.08,3.76,0:10.12,196913,1034808,651940,606991
10,6.16,4.55,0:11.05,246988,1124144,707890,767535
5,7.00,4.56,0:11.93,247804,1207430,774758,860118
