RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,5.50,0.81,0:06.32,127,678690,1524,637
90,5.62,0.75,0:06.39,1528,687870,54625,13487
80,5.68,0.84,0:06.54,2062,689786,145343,15542
70,5.61,1.26,0:06.89,9964,703844,200020,31050
60,5.76,1.61,0:07.39,39468,740982,307965,80437
50,5.82,2.22,0:08.06,76536,813583,374296,146447
40,5.85,3.06,0:08.94,130767,892311,497863,308155
30,5.94,3.64,0:09.66,189963,976897,558070,463108
20,6.02,3.96,0:10.13,199656,1056851,670707,597181
10,6.31,4.22,0:10.77,253469,1119417,712939,753930
5,7.10,4.19,0:11.57,245008,1199025,772089,844635
