RATIO,CPU,PAGE_FAULT_HIT,PAGE_FAULT_TIME,PAGE_FAULT_S2,SWAPIN_HIT,SWAPIN_TIME,SWAPIN_S2,EVICT_HIT,EVICT_TIME,EVICT_S2,SYNC_TIME
100,0,99293,63452.20,3416.193,,,,,,,
100,1,1083,1023.777,0.791,,,,,,,
100,2,775,619.355,0.203,,,,,,,
100,3,624,787.820,1.335,,,,,,,
100,4,619,753.538,2.213,,,,,,,
90,0,114880,269285.2,128013.1,12164,192758.9,3929.129,1,30117.48,0.000,
90,1,17856,260003.8,25093.77,15310,245045.9,4964.379,1,48088.77,0.000,
90,2,19186,266552.7,11047.02,15410,251670.3,10974.65,,,,
90,3,959,1188.062,0.963,,,,,,,
90,4,1005,1247.305,1.783,2,37.344,24.360,,,,
80,0,118549,302027.6,735922.5,14430,224058.8,4616.715,3,89957.21,8988734,
80,1,24407,302195.0,17361.15,18180,284873.6,4027.388,,,,
80,2,22138,282656.9,93570.25,16964,266623.0,3251.558,,,,
80,3,2069,2143.934,5.702,,,,,,,
80,4,1423,1733.268,0.911,,,,,,,
70,0,119624,325987.7,131096.6,17684,245873.5,2640.904,5,160165.7,141747856,
70,1,24546,298954.9,27177.41,20225,280250.7,11686.30,,,,
70,2,33138,305832.8,25337.83,20494,283963.0,3621.119,,,,
70,3,280,378.758,1.703,,,,,,,
70,4,175,188.328,0.218,,,,,,,
60,0,119854,357294.0,184230.0,20078,275282.2,3065.281,5,129974.4,39524849,
60,1,25415,328097.0,18519.32,22307,308313.1,3657.222,,,,
60,2,28285,309801.1,42284.92,20848,287741.5,15688.27,,,,
60,3,917,1159.123,1.830,,,,,,,
60,4,616,728.365,0.999,,,,,,,
50,0,131971,381524.6,4463355,20950,287952.0,16493.08,7,137055.0,39702256,
50,1,54642,393577.2,269593.4,26233,358869.5,19071.49,,,,
50,2,62911,392922.1,122212.6,25390,352434.7,60622.56,,,,
50,3,1377,1785.712,1.493,,,,,,,
50,4,1009,1332.082,3.132,,,,,,,
40,0,469775,1460934,2884074,52821,1065080,93829.66,6,183517.1,315879656,
40,1,346184,1400355,15882022,53743,1098261,126238.4,2,96359.71,360220499,
40,2,347748,1397273,2435763,52718,1088062,829303.5,2,97673.06,411020488,
40,3,2783,2950.369,12.718,,,,,,,
40,4,2295,2879.319,8.849,,,,,,,
30,0,514380,2376789,559134.7,84448,1713255,368383.7,5,104221.2,10259539,
30,1,417363,2148858,32265385,74683,1565909,195627.9,,,,
30,2,397340,2530049,3813467,91781,1902698,629200.9,,,,
30,3,318,374.899,1.992,,,,,,,
30,4,4648,4535.673,878.523,,,,,,,
20,0,542238,2826559,6798739,105429,2084836,242351.9,7,111199.0,9166672,
20,1,418011,2573502,28029463,91866,1908894,194128.0,,,,
20,2,418346,2103600,9132095,73029,1542840,162349.5,,,,
20,3,1201,1644.826,2.204,,,,,,,
20,4,609,788.287,3.425,,,,,,,
10,0,545251,2956461,15261115,113036,2142817,314565.4,5,96080.85,422219.5,
10,1,418745,2592444,28811918,89357,1867213,3197966,,,,
10,2,419579,2581984,4517150,88093,1846224,214323.9,,,,
10,3,3077,4265.126,19.257,,,,,,,
10,4,3170,4010.799,14.857,,,,,,,
5,0,563489,3142136,9775666,116255,2172926,400739.4,7,100414.3,2226021,
5,1,436002,2842422,724671.4,93864,1926712,628391.4,,,,
5,2,439780,2848855,464847.2,93996,1923788,2095936,,,,
5,3,2493,3159.545,4.103,,,,,,,
5,4,1795,2347.637,1.280,,,,,,,
