RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,4.03,0.13,0:04.17,0,100590,0,0
90,4.16,0.57,0:04.74,37702,104508,150761,119375
80,4.13,0.96,0:05.10,50575,102406,206774,162754
70,4.06,1.45,0:05.53,73520,123438,269393,240411
60,4.16,1.25,0:05.42,67660,107354,227590,221976
50,4.25,1.67,0:05.95,88969,151800,331960,322277
40,4.46,5.78,0:11.24,173546,893922,1565794,1544855
30,4.79,7.78,0:14.14,233874,1148723,2035160,2258923
20,4.68,7.97,0:14.27,232692,1150549,2046578,2290760
10,5.03,7.79,0:14.49,227380,1193127,2090041,2347630
5,4.96,11.25,0:18.68,317692,1564983,2361986,3574179
