RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,7.45,0.22,0:07.68,11,101177,9791,219
90,7.68,0.65,0:08.34,551,109983,461556,375849
80,7.56,1.07,0:08.65,652,112802,572202,440480
70,7.63,0.83,0:08.46,501,109959,489574,527030
60,7.51,0.47,0:08.05,273,106957,608450,497240
50,7.66,1.85,0:09.51,6223,244349,1080885,666405
40,7.65,7.35,0:15.02,11649,506724,4059902,3490695
30,7.59,10.32,0:17.93,2598,553806,4696934,4932577
20,7.71,10.64,0:18.38,7095,570503,4752979,5075435
