RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,7.39,0.22,0:02.87,0,101049,0,0
90,7.26,0.71,0:03.04,40217,118263,0,41112
80,7.16,0.92,0:03.11,49131,129692,0,50236
70,7.22,0.84,0:03.14,57485,119827,0,59190
60,7.94,0.87,0:03.38,63770,134362,0,66102
50,7.93,0.96,0:03.40,71055,215085,0,76803
40,9.29,3.81,0:04.90,210913,804246,0,470057
30,8.59,4.70,0:05.04,248063,840056,0,576665
20,8.67,4.60,0:05.02,249034,865053,0,598886
10,8.86,5.58,0:05.46,299977,1013853,0,715129
5,10.85,3.67,0:05.46,280999,896174,0,631032
