RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,3.77,0.10,0:02.12,0,100521,0,0
90,3.93,0.39,0:02.40,208,147025,50721,45241
80,3.97,0.48,0:02.50,1071,165208,69540,54251
70,3.96,0.44,0:02.51,88,166266,70694,62720
60,4.01,0.44,0:02.52,122,168066,70788,68799
50,4.04,0.61,0:02.62,4701,220102,99898,79899
40,4.65,1.86,0:03.57,2291,1133823,562094,269021
30,4.76,2.39,0:04.02,643,1357323,695060,741701
20,4.71,2.48,0:04.06,240,1382224,708552,772751
10,4.77,2.54,0:04.14,101,1382120,709048,776104
5,5.34,2.66,0:04.53,3934,1395134,719322,781859
