RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,3.44,0.13,0:03.57,0,100590,0,0
90,3.51,0.54,0:04.05,38153,103981,51627,41444
80,3.46,0.70,0:04.16,50171,102602,68924,54406
70,3.50,0.90,0:04.41,74089,123820,90345,80180
60,3.47,0.89,0:04.37,71817,114031,81752,80670
50,3.58,1.07,0:04.67,91254,154283,111921,107564
40,3.65,3.28,0:07.50,163426,975529,594988,532998
30,3.55,4.49,0:08.73,245059,1137678,709276,773272
20,3.80,4.24,0:08.75,244792,1137946,709376,778820
10,3.68,4.59,0:08.99,254356,1186797,730409,816686
5,4.15,5.40,0:10.52,321754,1568694,814427,1237099
