RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,2.29,1.48,0:04.26,32360,754209,283517,254863
90,2.29,1.55,0:04.32,32443,754126,343457,257630
80,2.44,1.52,0:04.38,32775,753794,412521,283468
70,2.37,1.61,0:04.44,32779,753794,464120,284246
60,2.59,2.16,0:05.17,61056,939575,564567,503438
50,2.39,2.88,0:05.62,89167,959563,565355,549344
40,2.58,2.75,0:05.58,97757,950971,565530,559670
30,2.50,4.95,0:07.46,524299,524428,565587,563150
20,2.63,2.41,0:05.28,85138,963593,565587,563119
10,2.66,4.63,0:07.30,524302,524426,565591,563117
5,2.60,2.61,0:05.35,96831,951896,565580,563107
