RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,2.78,1.18,0:03.97,215,601218,0,797
90,3.01,2.31,0:05.32,45,1048871,0,518406
80,3.02,2.36,0:05.39,47,1048876,0,531423
70,2.94,2.35,0:05.30,47,1048878,0,531433
60,3.10,2.15,0:05.26,47,1048881,0,531431
50,2.96,2.37,0:05.34,47,1048887,0,531467
40,3.06,2.17,0:05.23,47,1048888,0,531456
30,3.09,2.13,0:05.22,48,1048890,0,531432
20,3.09,2.13,0:05.23,47,1048893,0,531454
10,2.96,2.29,0:05.25,47,1048895,0,531450
5,3.04,2.20,0:05.24,47,1048896,0,531425
