RATIO,CPU,PAGE_FAULT_HIT,PAGE_FAULT_TIME,PAGE_FAULT_S2,SWAPIN_HIT,SWAPIN_TIME,SWAPIN_S2,EVICT_HIT,EVICT_TIME,EVICT_S2,SYNC_TIME
100,0,623656,852372.3,210864.7,2169,14215.57,45.109,,,,37909.13
100,1,7121,10901.53,36.209,16,93.851,1.655,,,,
100,2,6739,9870.492,41.128,,,,,,,
100,3,7096,10179.11,34.693,,,,,,,
100,4,6192,9069.197,19.242,,,,,,,
90,0,786946,1175198,22102485,38,265.000,33.905,11,229843.6,50559178,296758.4
90,1,8310,12076.84,478.705,,,,,,,
90,2,8037,11999.80,878.148,,,,,,,
90,3,8274,12587.84,40.875,,,,,,,
90,4,7978,12131.58,44.359,6,38.432,3.580,,,,
80,0,786616,1249803,14407376,38,303.915,25.736,8,104982.8,45018539,329793.9
80,1,9077,13855.88,295.596,16,141.873,72.027,,,,
80,2,7021,10523.64,57.822,,,,,,,
80,3,7477,10956.52,1790.952,,,,,,,
80,4,8627,12768.77,111.235,,,,,,,
70,0,786754,1224540,3597915,44,323.400,43.719,12,250297.5,105693899,312773.6
70,1,8525,12938.01,42.219,,,,,,,
70,2,9888,14897.80,60.707,,,,,,,
70,3,8049,12329.23,444.411,,,,,,,
70,4,9216,14369.73,55.512,,,,,,,
60,0,995288,1523740,860065.6,54,430.938,53.645,11,370131.2,849297426,472365.2
60,1,9138,14372.01,106.762,16,119.620,39.994,,,,
60,2,8071,12701.33,230.478,29,190.108,5.809,,,,
60,3,9172,14199.94,86.204,,,,,,,
60,4,8005,11625.60,36.912,,,,,,,
50,0,1048782,1637782,3522686,108,768.461,17.433,13,278890.8,195135716,528005.9
50,1,9144,14314.47,94.284,,,,,,,
50,2,11202,17265.17,358.184,,,,,,,
50,3,10797,16761.80,492.351,,,,,,,
50,4,9626,14502.29,90.307,,,,,,,
40,0,1048782,1687350,4067526,52,406.059,34.225,7,81705.65,18292191,538389.5
40,1,9563,15222.21,160.836,,,,,,,
40,2,8862,13812.38,143.727,,,,,,,
40,3,11192,17397.06,393.680,,,,,,,
40,4,10440,15548.54,159.907,,,,,,,
30,0,1048783,1676307,1433315,52,374.704,33.140,7,110827.1,45085969,531752.4
30,1,8195,12946.39,55.682,,,,,,,
30,2,8295,13026.17,2271.532,,,,,,,
30,3,8624,12771.75,126.291,8,54.676,2.911,,,,
30,4,9256,13666.52,63.909,,,,,,,
20,0,1048852,1703129,2337937,52,384.717,35.712,3,24181.56,19096817,531919.1
20,1,7752,11785.94,31.446,16,125.196,48.835,,,,
20,2,7974,11705.90,43.343,,,,,,,
20,3,8374,12622.34,130.183,,,,,,,
20,4,7786,11819.30,308.823,,,,,,,
10,0,1049010,1716348,1526782,84,565.596,21.150,1,8762.308,0.000,525965.0
10,1,7135,11130.95,30.950,,,,,,,
10,2,6663,9936.500,77.204,,,,,,,
10,3,7607,11572.47,80.490,,,,,,,
10,4,8541,12428.50,40.945,,,,,,,
5,0,1048926,1735135,2356679,80,522.018,18.003,,,,535496.9
5,1,9135,14809.79,95.181,,,,,,,
5,2,9510,14869.32,849.890,,,,,,,
5,3,8841,13692.70,217.560,16,119.607,40.930,,,,
5,4,10073,15621.33,89.345,,,,,,,
