RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,2.68,0.75,0:03.46,609,526494,88679,42136
90,2.45,13.94,0:18.13,126629,922159,3393180,3336546
80,2.58,14.44,0:18.71,125964,922833,3402090,3365211
70,2.61,15.52,0:19.80,125686,923114,4049875,3372949
60,2.65,16.37,0:20.68,126648,922150,4709913,3380510
50,2.60,17.46,0:21.71,125686,923120,5080345,3386414
40,2.63,17.71,0:21.99,128072,920733,5385830,3364940
30,2.73,17.65,0:22.15,124653,924155,5579868,3360585
20,2.74,18.82,0:23.26,128333,920478,6050357,3458922
10,2.73,154.18,2:37.20,154907,893858,6091538,3221055
5,2.66,33.31,0:36.14,374361,674461,5228787,3655947
