RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,3.85,0.14,0:04.00,0,104758,0,0
90,3.94,0.22,0:04.17,6897,121340,40025,25617
80,3.86,0.26,0:04.12,5622,124220,74203,56506
70,3.73,0.30,0:04.03,4069,111453,74447,70681
60,3.69,0.30,0:04.00,3519,108191,74597,77281
50,3.79,0.30,0:04.10,4140,126110,84574,79347
40,3.85,0.96,0:04.82,28927,362875,283452,165299
30,4.30,1.44,0:05.74,6163,644361,664458,711329
20,4.31,1.55,0:05.87,7656,657024,689132,743445
10,4.47,3.75,0:08.22,140124,1200597,1278315,1362687
5,4.59,2.92,0:07.51,3905,1202191,1282660,1615596
