RATIO,NUM_FAULTS,NUM_MAJOR_FAULTS
100,524795,17
90,1051090,117159
80,1050905,126503
70,1050451,119054
60,1050315,116607
50,1050193,120177
40,1050018,118939
30,1049994,118456
20,1049880,116043
