RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,7.11,0.20,0:02.77,0,101049,0,0
90,7.74,0.77,0:03.22,40150,121745,0,41007
80,7.72,0.95,0:03.34,49029,125437,0,49973
70,7.72,0.81,0:03.30,57763,113847,0,58979
60,7.45,0.91,0:03.21,64996,133410,0,66345
50,7.98,1.08,0:03.48,75096,230289,0,79161
40,8.47,4.20,0:04.73,280067,618175,0,383694
30,8.43,5.36,0:05.18,375813,697286,0,566634
20,8.43,5.17,0:05.11,357888,761713,0,596486
10,8.32,6.39,0:05.56,403351,894927,0,702918
5,9.32,5.63,0:05.67,424988,874194,0,699260
