RATIO,NUM_FAULTS,NUM_MAJOR_FAULTS
100,101345,0
90,153406,40637
80,162817,48146
70,173867,57441
60,213070,64702
50,355221,74423
40,969638,168355
30,1098657,203261
20,1132609,224660
10,1141892,238908
5,1186563,250127
