RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,3.95,0.12,0:01.61,0,100476,0,0
90,4.16,0.25,0:01.78,1408,140447,44710,41757
80,4.12,0.39,0:01.83,2085,151312,57556,51973
70,4.16,0.45,0:01.86,2957,166729,74003,65484
60,4.21,0.43,0:01.88,4628,170116,76021,72856
50,4.75,0.73,0:02.16,26485,209497,106681,101278
40,5.35,2.08,0:02.85,7699,1007494,501515,484640
30,5.24,3.28,0:03.27,8774,1338374,687068,731473
20,5.27,3.09,0:03.26,253,1374075,705041,767525
10,5.39,3.31,0:03.38,127,1382587,709354,775083
5,5.88,3.69,0:03.94,4712,1390802,717784,783344
