RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,2.61,0.80,0:03.46,368,541403,17595,1405
90,2.55,2.86,0:05.46,34625,751939,323680,266188
80,2.55,3.11,0:05.70,34514,752050,374279,266522
70,2.54,3.22,0:05.81,34545,752027,427976,266899
60,2.57,4.48,0:07.08,75872,920933,534093,479314
50,2.72,4.39,0:07.15,85889,962308,534597,531057
40,2.75,6.11,0:08.89,524305,524422,534604,531545
30,2.79,4.37,0:07.20,85434,963291,534606,531584
20,2.70,3.86,0:06.59,85575,963150,534592,531545
10,2.77,3.71,0:06.51,86257,962470,534603,531546
5,2.82,5.99,0:08.82,524308,524417,534608,531541
