RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,7.79,1.06,0:08.87,91,678147,5098,3338
90,7.95,1.36,0:09.35,1796,687602,214591,79182
80,7.78,1.73,0:09.60,1718,687683,425298,82364
70,7.80,2.62,0:10.56,9453,689682,832818,123896
60,7.97,4.11,0:12.13,23739,700001,1253675,250529
50,7.98,7.06,0:15.41,66648,777092,2024691,1048253
40,8.09,8.76,0:17.46,92594,885607,2633188,1919021
30,8.17,10.94,0:20.38,156320,997762,3380727,3040685
20,8.53,12.04,0:22.67,169569,1063014,4078828,3839885
10,8.64,13.85,0:25.27,184050,1185742,4653508,4769465
5,9.27,12.52,0:23.98,188397,1373521,4475643,4236573
