RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,5.56,0.93,0:06.50,78,678258,1005,660
90,5.53,1.02,0:06.56,32,689362,38841,11456
80,5.65,0.95,0:06.61,26,689370,80321,11343
70,5.71,1.06,0:06.78,89,689389,154519,24170
60,5.67,1.55,0:07.22,21767,694179,243825,82721
50,5.85,1.57,0:07.46,12287,715426,347464,165155
40,5.96,1.76,0:07.79,12691,741538,443782,302755
30,6.00,2.25,0:08.36,33458,777031,560600,501910
20,6.04,2.16,0:08.37,2677,818809,652337,581209
10,6.03,2.58,0:08.74,4975,854851,709603,738961
5,6.92,2.51,0:09.54,4988,869932,769903,810222
