RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,5.55,0.84,0:06.39,29,678737,1468,543
90,5.59,0.84,0:06.44,32,689366,54146,13458
80,5.71,0.85,0:06.57,417,692284,147005,15600
70,5.63,1.20,0:06.83,2003,712132,202895,28750
60,5.76,1.54,0:07.31,17247,763023,305414,75849
50,5.78,1.88,0:07.69,9161,881235,376319,139342
40,5.79,2.49,0:08.30,12571,1015627,498772,299928
30,5.84,2.74,0:08.62,16601,1155882,561933,461430
20,6.02,2.73,0:08.81,4247,1253785,670254,575853
10,6.26,2.79,0:09.15,2678,1370528,712907,728633
5,6.91,2.89,0:09.90,3816,1438555,770417,797198
