RATIO,CPU,PAGE_FAULT_HIT,PAGE_FAULT_TIME,PAGE_FAULT_S2,SWAPIN_HIT,SWAPIN_TIME,SWAPIN_S2,EVICT_HIT,EVICT_TIME,EVICT_S2,SYNC_TIME,LOCK_MINPF_HIT,LOCK_MINPF_TIME,LOCK_MINPF_S2
100,0,104685,80738.02,5733.977,,,,,,,7101.399,,,
100,1,1601,2129.410,2.594,,,,,,,,,,
100,2,494,774.098,3.359,,,,,,,,,,
100,3,1346,1361.208,1.028,,,,,,,,,,
100,4,994,1164.651,1.164,,,,,,,,,,
90,0,126438,146898.8,261195.9,5109,42311.19,4090.720,1,14231.27,0.000,15087.28,19066,653.204,4.192
90,1,2058,2596.448,1.686,,,,,,,,,,
90,2,712,1022.082,2.695,,,,,,,,,,
90,3,1489,1887.706,2.105,,,,,,,,,,
90,4,1512,1833.485,1.876,,,,,,,,,,
80,0,161119,200655.5,1264134,4077,35445.10,313.953,2,28802.95,4579.819,42353.84,53466,1928.007,353.670
80,1,571,747.324,5.486,,,,,,,,,,
80,2,985,1347.412,1.660,,,,,,,,,,
80,3,2247,2939.862,11.701,,,,,,,,,,
80,4,1486,1833.517,1.764,,,,,,,,,,
70,0,177134,233652.8,448826.3,4769,40447.99,1999.975,3,45453.51,495779.6,54327.89,69789,2597.477,151.601
70,1,1126,1668.203,3.909,35,256.800,7.236,,,,,35,1.327,0.000
70,2,399,688.944,1.488,,,,,,,,,,
70,3,2679,3016.125,11.389,,,,,,,,,,
70,4,3150,3795.598,46.849,,,,,,,,,,
60,0,181897,238516.7,380952.7,3857,34069.15,1462.733,3,55215.54,18896193,57226.76,73824,4689.449,4983.401
60,1,1730,2105.194,1.710,,,,,,,,,,
60,2,583,917.399,4.340,,,,,,,,,,
60,3,1941,2488.069,2.060,15,110.000,2.401,,,,,15,0.593,0.000
60,4,877,1180.816,3.591,,,,,,,,,,
50,0,212126,351683.3,356385.0,15534,123548.7,15989.42,4,54967.35,24505501,60121.13,89030,6725.046,14757.29
50,1,1842,2438.453,2.113,,,,,,,,,,
50,2,489,764.715,7.190,,,,,,,,,,
50,3,2229,2763.568,15.045,8,62.598,5.245,,,,,8,0.319,0.000
50,4,1419,1845.060,1.837,,,,,,,,,,
40,0,494437,1024035,3087274,65005,548402.3,53302.32,3,51797.62,12096434,128371.7,238848,17874.03,65580.85
40,1,985,1244.955,1.843,,,,,,,,,,
40,2,418,725.772,1.171,,,,,,,,,,
40,3,4911,5324.366,61.460,16,109.332,0.991,,,,,16,0.549,0.000
40,4,2603,3404.114,4.622,8,61.514,3.069,,,,,8,0.342,0.000
30,0,1290076,1520862,552916.3,19990,202865.0,327729.7,4,60220.37,1787945,457620.2,668958,34344.48,199099.9
30,1,5991,6636.976,154.734,33,248.382,7.827,,,,,33,1.229,0.000
30,2,1165,1642.617,1.489,,,,,,,,,,
30,3,4501,6960.465,21.462,,,,,,,,,,
30,4,2261,2919.608,14.105,,,,,,,,,,
20,0,1328525,1689569,2181134,33023,306118.0,24634.04,3,52488.07,6823400,483308.6,695577,32844.43,197932.8
20,1,1029,1304.230,2.962,,,,,,,,,,
20,2,494,1014.809,2.799,16,112.456,1.567,,,,,16,0.600,0.000
20,3,6086,7198.121,108.897,,,,,,,,,,
20,4,2809,3832.494,6.057,,,,,,,,,,
10,0,2663904,3206627,8519315,37743,300840.1,20086.06,6,62722.92,4932791,1050318,1514997,101641.9,3192917
10,1,3278,4148.261,11.473,,,,,,,,,,
10,2,954,1545.741,3.263,,,,,,,,,,
10,3,3916,5960.494,16.998,,,,,,,,,,
10,4,1954,2711.042,3.304,35,268.177,12.157,,,,,35,1.389,0.000
5,0,2666164,3223918,571328.9,36718,272008.5,11439.30,23,59242.16,478641.7,1101716,1513917,83388.03,1015393
5,1,1072,1287.938,0.903,,,,,,,,,,
5,2,536,1191.063,4.208,16,109.536,1.594,,,,,16,0.575,0.000
5,3,7862,9330.366,297.390,,,,,,,,,,
5,4,4365,5934.429,22.549,,,,,,,,,,
