RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,4.15,1.74,0:05.89,0,1445976,0,0
90,4.22,1.91,0:06.13,3225,1448641,192224,6226
80,4.18,2.07,0:06.26,3225,1474262,295647,8118
70,4.23,3.05,0:07.30,53874,1734354,635984,142965
60,4.48,4.24,0:08.73,86021,2328412,1077688,407593
50,4.57,6.77,0:11.36,212217,2952611,1588686,1203247
40,5.15,15.85,0:21.03,296507,7058157,4623239,4460748
30,5.03,20.12,0:25.17,332405,8553347,5078812,7166536
20,4.54,22.75,0:27.32,284345,9696482,5293980,8806603
10,4.85,22.79,0:27.67,29140,11160715,5322962,10362724
5,4.77,23.67,0:28.47,70493,11557440,5331050,10835768
