RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,3.46,0.12,0:03.58,0,100590,0,0
90,3.54,0.22,0:03.77,2366,110235,56194,43669
80,3.56,0.20,0:03.77,808,109124,69235,51326
70,3.52,0.27,0:03.79,1340,108774,70645,62867
60,3.54,0.24,0:03.78,1511,103962,70758,69274
50,3.64,0.25,0:03.90,2230,138024,90261,75134
40,3.93,1.54,0:05.48,57075,648528,608006,412254
30,3.95,1.52,0:05.48,596,666604,709244,770821
20,3.98,1.53,0:05.52,32,671572,709367,777542
10,4.05,1.94,0:05.99,45681,729103,743541,826345
5,4.01,2.58,0:06.59,79915,762045,825117,1220123
