RATIO,NUM_FAULTS,NUM_MAJOR_FAULTS
100,678573,92
90,694063,1804
80,696916,1898
70,704395,5938
60,730393,26798
50,854097,72817
40,1008347,97814
30,1226359,158536
20,1337940,189167
