RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,7.56,0.33,0:02.99,0,247023,0,0
90,7.50,0.40,0:03.04,28,243968,24913,283
80,6.77,0.46,0:02.86,20,241866,46876,415
70,7.82,0.87,0:03.34,40563,241750,88075,41808
60,9.28,1.02,0:04.14,51508,256931,107473,53878
50,7.33,0.99,0:03.27,62388,230083,87314,64712
40,7.99,1.39,0:03.68,81746,258231,142816,98653
30,8.45,4.11,0:04.84,201688,908794,532751,537217
20,9.20,4.10,0:05.13,227960,953257,570355,631632
10,8.83,4.57,0:05.13,232935,1008685,592225,661894
5,9.90,3.82,0:05.28,258813,970508,578627,661834
