RATIO,NUM_FAULTS,NUM_MAJOR_FAULTS
100,105060,0
90,114916,5446
80,112689,4044
70,113401,4795
60,114482,4374
50,142128,16127
40,346560,69448
30,647037,7568
20,693824,6617
10,1287820,5567
5,1270290,3949
