RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,6.56,0.19,0:06.75,6,101180,0,69
90,6.45,0.62,0:07.08,40943,112525,0,41847
80,6.44,0.74,0:07.18,48598,114177,0,49754
70,6.93,0.71,0:07.65,57845,114901,0,59114
60,6.94,0.81,0:07.77,63624,122297,0,66013
50,6.97,1.08,0:08.06,74718,247191,0,91892
40,7.48,2.47,0:10.00,199406,860311,0,514684
30,7.86,2.57,0:10.48,220714,883326,0,580525
20,7.60,2.67,0:10.32,224025,880002,0,586195
10,7.98,3.12,0:11.20,247238,991750,0,672471
5,7.68,4.95,0:12.77,395483,1303744,0,1105222
