RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,3.45,0.10,0:03.56,0,100590,0,0
90,3.51,0.46,0:03.98,41053,113852,63654,44652
80,3.51,0.52,0:04.03,47919,123862,75089,52031
70,3.49,0.62,0:04.12,57354,134310,83405,64359
60,3.51,0.65,0:04.16,64415,120313,79121,69601
50,3.56,0.72,0:04.29,68577,156110,99718,74664
40,3.93,2.59,0:06.56,186953,1124737,663959,646143
30,3.99,3.06,0:07.10,251937,1130798,709330,775929
20,3.94,3.20,0:07.20,261583,1124966,711418,779073
10,3.84,3.54,0:07.47,260027,1265088,744836,868874
5,4.04,4.39,0:08.55,337544,1556018,815790,1244695
