RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,2.38,1.26,0:03.65,7329,658754,0,8399
90,2.32,1.84,0:04.17,7,786557,0,266552
80,2.55,1.77,0:04.32,9,786564,0,266891
70,2.75,1.71,0:04.47,12,786561,0,267179
60,2.76,2.16,0:04.93,37,995285,0,477707
50,2.51,2.33,0:04.85,51,1048675,0,527622
40,2.77,2.15,0:04.93,17,1048709,0,531450
30,2.66,2.16,0:04.83,17,1048709,0,531451
20,2.73,2.09,0:04.83,17,1048709,0,531457
10,2.67,2.08,0:04.76,17,1048709,0,531465
5,2.54,2.23,0:04.77,17,1048709,0,531443
