RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,2.32,0.61,0:02.94,431,619379,101210,3069
90,2.16,4.71,0:06.89,369652,679139,565612,562999
80,2.02,4.14,0:06.18,262947,785848,565613,562987
70,2.15,3.95,0:06.12,259758,789040,565611,562995
60,2.26,3.77,0:06.05,253987,794812,565611,562994
50,2.19,4.15,0:06.37,274502,774301,565616,563018
40,2.16,3.78,0:05.96,256028,792779,565616,563026
30,2.28,3.60,0:05.90,256412,792398,565618,563025
20,2.26,3.50,0:05.78,255040,793774,565613,563023
10,2.33,4.12,0:06.45,435033,613783,565616,563042
5,2.38,3.28,0:05.68,264669,784146,565618,563052
