RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,7.27,0.21,0:02.84,0,101049,0,0
90,7.04,0.56,0:02.90,67,151824,0,40953
80,7.24,0.59,0:03.00,48,164907,0,49570
70,7.11,0.53,0:02.94,126,167349,0,59609
60,7.17,0.64,0:02.99,568,189875,0,65883
50,7.56,0.64,0:03.13,1568,272484,0,73614
40,8.64,2.39,0:04.09,3526,997339,0,424630
30,8.92,2.37,0:04.20,123,1081923,0,560044
20,8.67,2.92,0:04.31,122,1100960,0,579745
10,9.28,2.99,0:04.54,2791,1113475,0,588431
5,11.63,3.86,0:05.71,34104,1217632,0,616545
