RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,5.55,0.87,0:06.42,29,678773,-76735528,551
90,5.57,0.91,0:06.48,32,689366,-76737021,13474
80,5.60,1.06,0:06.67,475,692480,-76791896,15722
70,5.63,1.28,0:06.93,2266,712000,-76939557,29210
60,5.72,1.69,0:07.42,16788,762970,-77143735,75348
50,5.89,1.89,0:07.80,10312,880357,-77448988,140143
40,5.90,2.45,0:08.38,13020,1013617,-77816022,301016
30,5.90,2.83,0:08.78,17519,1148753,-78312261,466090
20,6.13,2.75,0:08.95,4966,1255235,-78869418,579017
10,6.15,3.05,0:09.31,2139,1369934,-79539227,725457
5,6.90,3.04,0:10.07,4791,1439250,-80255917,798238
