RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,2.22,1.33,0:03.59,24724,713488,228627,108219
90,2.20,4.09,0:06.35,249084,799705,564427,493938
80,2.11,3.61,0:05.81,137569,911224,565609,563088
70,2.25,4.36,0:06.63,300682,748114,565616,563155
60,2.27,3.40,0:05.73,138429,910370,565612,563144
50,2.23,3.37,0:05.64,141888,906915,565619,563167
40,2.35,4.31,0:06.69,385541,663264,565620,563146
30,2.38,3.09,0:05.54,139920,908889,565618,563168
20,2.46,3.02,0:05.51,157756,891056,565619,563142
10,2.50,2.82,0:05.36,131481,917334,565614,563141
5,2.42,2.90,0:05.34,140901,907915,565618,563143
