RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,2.18,2.96,0:05.15,217020,569545,283371,233830
90,2.23,1.28,0:03.79,23,786542,342553,263203
80,2.37,1.23,0:03.89,8,786557,401617,282742
70,2.27,1.39,0:03.96,12,786560,456463,283539
60,2.46,1.86,0:04.80,2086,996094,564590,503884
50,2.47,1.95,0:04.95,213,1048515,565426,552787
40,2.63,1.82,0:04.94,94,1048630,565519,558507
30,2.60,1.88,0:04.91,20,1048708,565593,562802
20,2.74,1.78,0:04.93,19,1048709,565593,562902
10,2.80,1.74,0:04.92,19,1048709,565591,563006
5,2.68,1.88,0:04.91,20,1048708,565594,563057
