RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,5.61,0.78,0:06.40,29,678749,-77245389,544
90,5.62,0.83,0:06.46,32,689366,-77246858,13464
80,5.64,0.94,0:06.59,364,692135,-77301261,15499
70,5.76,1.15,0:06.91,2113,712355,-77447519,28858
60,5.77,1.55,0:07.33,17039,763153,-77651643,75888
50,5.80,1.88,0:07.70,8920,882431,-77956703,138009
40,5.92,2.34,0:08.29,12442,1015608,-78320755,299478
30,5.90,2.67,0:08.60,17047,1145970,-78818571,460334
20,6.08,2.70,0:08.84,4538,1256293,-79371793,578355
10,6.30,2.78,0:09.19,2186,1369707,-80041835,727964
5,6.97,2.87,0:09.95,4194,1439508,-80759447,796308
